DialogueID,NpcID,DialogueText,DialogueChoiceID,LoofDialogueID,EndCheck,TriggerID
7001,PC,젠장... 무슨 일이 일어난 건지… 이게 다 뭐야?,,,TRUE,
7002,PC,알파 1;  여기는 이동형 통신기 F-05. 수신되는가?,,,FALSE,
7003,군인,(잡음)…F-05; 수신 양호. 상황 보고하라.,,,FALSE,
7004,PC,웨스트번 제인 1번지; 동쪽 통행로 터널 인근.,,,FALSE,
7005,PC,터널 붕괴 등 현장 이상 징후 확인. 부상 발생. 구조 요청한다.,,,FALSE,
7006,군인,F-05; 상급부대 지시 전달한다. 해당 지역은 14시부로 통제구역으로 지정됨.,,,FALSE,
7007,군인,지정 사유는 비공개. 가능한 현 위치에서 즉시 이탈하라.,,,FALSE,
7008,PC,이탈이 불가능하다. 차량 파손; 휴대 단말기 분실. 장거리 이동 불능 상태.,,,FALSE,
7009,군인,하급 부대에서 병력 이동 제한되었다. 지휘부 병력 7일 이내 현장 파견 예정. 버틸 수 있겠나?,,,FALSE,
7010,PC,...일주일이라고? 대체 무슨 상황이야?,,,FALSE,
7011,군인,자세히 설명할 수 없다. 7일 이내 현장 도달 예정. 7일만 버텨라; F-05. 현 위치...(잡음),,,FALSE,
7012,PC,알파 1; 수신 불량. 반복; 수신 불량. 알파 1. 응답하라.,,,FALSE,
7013,PC,...젠장.,,,TRUE,
7014,경비병 1,정지! 움직이면 쏜다!,,,FALSE,
7015,경비병 2,누구냐! 신원을 밝혀!,,,FALSE,
7016,경비병 1,지긋지긋한 시체 놈들은 아니군. 좀도둑인가? 죽기 싫으면 가만히 있어.,,,FALSE,
7017,경비병 2,...감염의 흔적은 보이지 않아.,,,FALSE,
7018,경비병 1,이 자식은 무슨 생각으로 이렇게 밖을 나돌아다니는 거야?,,,FALSE,
7019,경비병 1,따라 와라!,,,TRUE,
7020,PC,...생존자들이 모인 장소인가.,,,FALSE,
7021,경비병 2,잔말 말고 계속 걸어.,,,TRUE,
7022,자경단장,당신이로군. 혼자서 저 바깥을 돌아다닌다는 정신나간 사람이.,,,FALSE,
7023,자경단장,외부인이 어째서 이곳에 있는 거지?,,,FALSE,
7024,PC,이곳이 내 고향이오. 오랜만에 집으로 돌아오는 길인데; 모든 게 엉망이군.,,,FALSE,
7025,자경단장,오랜만이라… 제인 1번지가 이런 지옥같은 모습으로 변한 건 반 년도 더 된 일인데 말이지.,,,FALSE,
7026,PC,반 년이라고…?,,,FALSE,
7027,자경단장,일주일 뒤면 이곳에 군대가 올 예정이오. ,,,FALSE,
7028,자경단장,그래; 그래... 상황이 이 지경이 될 때까지 어디서 뭘 하다가; 이제서야 군대를 보내겠다니.,,,FALSE,
7029,자경단장,당신; 지난 번 감염 확산이 심한 서부 지역에 군이 무차별 폭격을 가한 사실을 알고 있소?,,,FALSE,
7030,PC,…나는 며칠 전까지 군인이었소. 지금은 퇴역했지만; 생전 처음 듣는 얘기로군.,,,FALSE,
7031,자경단장,민가를 폭격한 사실은 군 내부에서도 숨기는 건가…,,,FALSE,
7032,자경단장,하지만 이는 사실이오. 그리고 제인 1번지도 그렇게 될 것이오. 감염을 차단한다는 명목으로 전부 죽게 되겠지.,,,FALSE,
7033,자경단장,우리는… 이제 와서 죽으려고; 여기까지 온 게 아니야.,,,FALSE,
7034,자경단장,뭐; 이젠 자네도 우리와 한 배를 탄 셈이 아닌가?,,,FALSE,
7035,자경단장,…고향에 돌아온 걸 환영하지.,,,TRUE,
7036,PC,군대가 사람들을 공격한다니… 이 상황을 설명해 줄 사람이 필요하다.,,,FALSE,
7037,PC,통신 장비를 고쳐야 해.,,,TRUE,
7038,자경단장,여기 사람들은 다 똑같아.,,,FALSE,
7039,자경단장,그저 살기 위해 매 순간 최선을 다하는 사람들이다.,,7038,TRUE,
7040,단원1,그 친구가 내 소중한 라디오를 고쳐 줬어.,,,FALSE,
7041,단원1,어떻게 보답을 하면 좋을까…,,7040,TRUE,
7042,단원2,…말 걸지 마.,,,FALSE,
7043,단원2,누구랑 더 이상 친해질 생각 없으니까.,,7042,TRUE,
7044,단원3,가지고 있는 그거; 무전기야?,,,FALSE,
7045,단원3,으음… 나는 기계에 대해선 잘 몰라서.,,7044,TRUE,
7046,단원4,단장은 대단한 사람이야.,,,FALSE,
7047,단원4,단장이 없었다면 수많은 사람들도; 이 캠프도; 전부 없었을거야.,,7046,TRUE,
7048,단원5,혹시 당신; 할 일이 있습니까? 여유가 된다면 잠깐 도와주실 수 있습니까?,VigilanteChoice1,,FALSE,
7049,단원5,최근에 자경단 캠프 주변까지 감염자들이 보이기 시작했습니다. ,,,FALSE,V01Receive
7050,단원5,분명 이 주변은 확실하게 청소했을 텐데…,,,FALSE,
7051,단원5,어쨌든; 튼튼하고 쓸만한 무기 하나를 구해다 주실 수 있습니까?,,,FALSE,
7052,단원5,지켜야 할 사람들이 많은 상황인지라…,,7051,TRUE,
7053,단원5,일은 잘 마무리 되셨습니까?,,,FALSE,V01Clear
7054,단원5,정말 감사합니다. 별 건 아니지만; 받아주십시오.,,,FALSE,
7055,단원5,최근에 걱정거리가 너무 많았는데 덕분에 한숨 돌릴 수 있게 되었네요.,,,FALSE,
7056,단원5,참; 혹시 도움이 필요하시다면 기술자를 한번 찾아가 보십시오.,,,FALSE,
7057,단원5,망가진 물건을 수리하는 데 일가견이 있는 사람입니다.,,,FALSE,
7058,단원5,도와주신 일은 잊지 않을게요.,,7058,TRUE,
7059,단원6,으으… 나는; 나는 어쩌면…,,,FALSE,
7060,단원6,...저기 혹시; 일손 좀 남아?,VigilanteChoice2,,FALSE,
7061,단원6,나는... 저번 탐사에서 동료 하나를 잃었어.,,,FALSE,V02Receive
7062,단원6,함께 필요한 물건을 찾아 캠프로 복귀하던 도중에... 당하고 말았지.,,,FALSE,
